Mean_Nx,Mean_Ny,Mean_Nz,Mean_Curvature,AABB_Width,AABB_Height,AABB_Depth,OBB_Width,OBB_Height,OBB_Depth,Major_Axis_Horizontal,Major_Axis_Vertical
1.191133395093607467e-01,8.172931338674439827e-02,6.252133844287161013e-01,1.523849944084990950e-02,1.152591779828071594e-01,2.051277682185173035e-01,2.640000283718109131e-01,2.864131279384628526e-01,2.291686508113656706e-01,2.892361236343581332e-01,2.892361236343581332e-01,2.291686508113656706e-01
1.166295149030872891e-01,8.012502094017968923e-02,6.273912768954111874e-01,1.533534906727676388e-02,1.152591779828071594e-01,2.050334587693214417e-01,2.640000283718109131e-01,1.948332583761410719e-01,2.395417003377731113e-01,2.892688542503896176e-01,2.892688542503896176e-01,1.948332583761410719e-01
1.286144979237179575e-01,8.186841163563238211e-02,6.323973852372147819e-01,1.535155278456618207e-02,7.769733853638172150e-02,1.974671967327594757e-01,4.500001668930053711e-02,7.844135185188087778e-02,1.986305069389217304e-01,5.101518218045975051e-02,1.986305069389217304e-01,5.101518218045975051e-02
1.216657559774861203e-01,8.029090426532428659e-02,6.264787395694375594e-01,1.536988627928594781e-02,7.703855540603399277e-02,1.971801854670047760e-01,4.499998688697814941e-02,8.129503455562944736e-02,1.998529504097202314e-01,5.738805068199603898e-02,1.998529504097202314e-01,5.738805068199603898e-02
1.264900184163328112e-01,7.621960899580508542e-02,6.126334770025222420e-01,1.512335100662929796e-02,1.168381087481975555e-01,2.046401873230934143e-01,2.650000154972076416e-01,2.863277644113390030e-01,2.313782244443915448e-01,2.943429753103283808e-01,2.943429753103283808e-01,2.313782244443915448e-01
1.296369044522001635e-01,7.673966005972905624e-02,6.126984980009810844e-01,1.543608653039191606e-02,1.168381087481975555e-01,2.046401873230934143e-01,4.899999499320983887e-02,1.343449178237268171e-01,2.118644706433923108e-01,7.949487216131467804e-02,2.118644706433923108e-01,7.949487216131467804e-02
1.193423207170076217e-01,7.765930525616281110e-02,6.617368318639326175e-01,2.036499681143000631e-02,1.428772062063217163e-01,2.037593759596347809e-01,2.630000412464141846e-01,2.923665443477370118e-01,2.430204378001978860e-01,3.075256571853502430e-01,3.075256571853502430e-01,2.430204378001978860e-01
1.213933603940455380e-01,7.797518915394319183e-02,6.623723662714824378e-01,2.039038990500731743e-02,1.428772062063217163e-01,2.032571621239185333e-01,2.630000412464141846e-01,2.996069594106087752e-01,2.411530828869938858e-01,3.077540125808596594e-01,3.077540125808596594e-01,2.411530828869938858e-01
1.118942252715017238e-01,7.818644416084932769e-02,6.759164541523436931e-01,2.120322449804015394e-02,1.058199927210807800e-01,2.002200223505496979e-01,4.600000381469726562e-02,1.133803858308014001e-01,2.068979904737967002e-01,6.356223175234365641e-02,2.068979904737967002e-01,6.356223175234365641e-02
1.119673800130341623e-01,7.828592433310056775e-02,6.760232941962069919e-01,2.123296680352153992e-02,1.058199927210807800e-01,2.002200223505496979e-01,4.600000381469726562e-02,1.119585942701094572e-01,2.056920596886102626e-01,6.522696208342448898e-02,2.056920596886102626e-01,6.522696208342448898e-02
